recv	ack	#196,	sack	#204
send	data	#208,	winSize = 6
recv	ack	#196,	sack	#205
send	data	#209,	winSize = 6
resnd	data	#197,	winSize = 6
recv	ack	#196,	sack	#206
send	data	#210,	winSize = 6
recv	ack	#196,	sack	#207
send	data	#211,	winSize = 6
recv	ack	#196,	sack	#208
send	data	#212,	winSize = 6
recv	ack	#196,	sack	#196
recv	ack	#202,	sack	#197
send	data	#213,	winSize = 6
recv	ack	#202,	sack	#210
send	data	#214,	winSize = 6
recv	ack	#202,	sack	#211
send	data	#215,	winSize = 6
recv	ack	#202,	sack	#202
resnd	data	#203,	winSize = 6
recv	ack	#202,	sack	#214
send	data	#216,	winSize = 6
recv	ack	#202,	sack	#202
recv	ack	#208,	sack	#203
send	data	#217,	winSize = 6
recv	ack	#208,	sack	#216
send	data	#218,	winSize = 6
recv	ack	#208,	sack	#217
send	data	#219,	winSize = 6
recv	ack	#208,	sack	#208
resnd	data	#209,	winSize = 6
recv	ack	#208,	sack	#219
send	data	#220,	winSize = 6
recv	ack	#211,	sack	#209
send	data	#221,	winSize = 6
recv	ack	#211,	sack	#220
send	data	#222,	winSize = 6
recv	ack	#211,	sack	#221
send	data	#223,	winSize = 6
recv	ack	#211,	sack	#211
resnd	data	#212,	winSize = 6
recv	ack	#212,	sack	#212
send	data	#224,	winSize = 6
recv	ack	#212,	sack	#224
send	data	#225,	winSize = 6
recv	ack	#212,	sack	#225
send	data	#226,	winSize = 6
recv	ack	#212,	sack	#226
send	data	#227,	winSize = 6
resnd	data	#213,	winSize = 6
recv	ack	#212,	sack	#227
send	data	#228,	winSize = 6
recv	ack	#214,	sack	#213
send	data	#229,	winSize = 6
recv	ack	#214,	sack	#228
send	data	#230,	winSize = 6
recv	ack	#214,	sack	#229
send	data	#231,	winSize = 6
recv	ack	#214,	sack	#230
send	data	#232,	winSize = 6
resnd	data	#215,	winSize = 6
recv	ack	#214,	sack	#231
send	data	#233,	winSize = 6
recv	ack	#214,	sack	#232
send	data	#234,	winSize = 6
recv	ack	#217,	sack	#215
send	data	#235,	winSize = 7
send	data	#236,	winSize = 7
recv	ack	#217,	sack	#233
send	data	#237,	winSize = 7
recv	ack	#217,	sack	#234
send	data	#238,	winSize = 7
recv	ack	#217,	sack	#236
send	data	#239,	winSize = 7
resnd	data	#218,	winSize = 7
recv	ack	#217,	sack	#237
send	data	#240,	winSize = 7
recv	ack	#217,	sack	#238
send	data	#241,	winSize = 7
recv	ack	#217,	sack	#239
send	data	#242,	winSize = 7
recv	ack	#221,	sack	#218
send	data	#243,	winSize = 7
recv	ack	#221,	sack	#240
send	data	#244,	winSize = 7
recv	ack	#221,	sack	#221
recv	ack	#221,	sack	#242
send	data	#245,	winSize = 7
resnd	data	#222,	winSize = 7
recv	ack	#221,	sack	#221
recv	ack	#221,	sack	#244
send	data	#246,	winSize = 7
recv	ack	#221,	sack	#245
send	data	#247,	winSize = 7
recv	ack	#222,	sack	#222
send	data	#248,	winSize = 7
recv	ack	#222,	sack	#222
recv	ack	#222,	sack	#247
send	data	#249,	winSize = 7
recv	ack	#222,	sack	#248
send	data	#250,	winSize = 7
resnd	data	#223,	winSize = 7
recv	ack	#222,	sack	#249
send	data	#251,	winSize = 7
recv	ack	#234,	sack	#223
send	data	#252,	winSize = 7
recv	ack	#234,	sack	#252
send	data	#253,	winSize = 7
recv	ack	#234,	sack	#253
send	data	#254,	winSize = 7
recv	ack	#234,	sack	#254
send	data	#255,	winSize = 7
resnd	data	#235,	winSize = 7
recv	ack	#234,	sack	#255
send	data	#256,	winSize = 7
recv	ack	#240,	sack	#235
send	data	#257,	winSize = 7
recv	ack	#240,	sack	#256
send	data	#258,	winSize = 7
recv	ack	#240,	sack	#240
recv	ack	#240,	sack	#240
resnd	data	#241,	winSize = 7
recv	ack	#240,	sack	#240
time	out,	threshold = 3,	winSize = 1
resnd	data	#241,	winSize = 1
recv	ack	#242,	sack	#241
resnd	data	#243,	winSize = 2
